location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
Maine,1,0.00851254669248083,0.02000493403013812,0.0505401236524635,0.0085,0.02,0.0505,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Maine,2,0.00597904141407747,0.01704964994885441,0.05440954012167791,0.006,0.017,0.0544,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Maryland,0,0.03366467776428961,0.05129767395946429,0.082,0.0337,0.0513,0.082,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Maryland,1,0.0309572806736619,0.05814880380619341,0.11874123213121646,0.031,0.0581,0.1187,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Maryland,2,0.01998660520419171,0.05533165816953586,0.14833915347827187,0.02,0.0553,0.1483,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Massachusetts,0,0.02200190762755752,0.0364439600252951,0.05789529720572689,0.022,0.0364,0.0579,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Massachusetts,1,0.0200465087703085,0.04284556985357565,0.09129332550309335,0.02,0.0428,0.0913,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Massachusetts,2,0.01514397386108085,0.0380287245983395,0.0997218415682648,0.0151,0.038,0.0997,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Michigan,0,0.01896416571394618,0.03209174644747968,0.05393188994426236,0.019,0.0321,0.053900000000000003,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Michigan,1,0.01695478425300589,0.03803702951482665,0.07975952899382995,0.017,0.038,0.0798,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Michigan,2,0.01266388323153631,0.03173245188181966,0.08483411133230848,0.0127,0.0317,0.0848,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Minnesota,0,0.03549672386415949,0.05886213816416075,0.0964,0.0355,0.0589,0.0964,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Minnesota,1,0.03268631221409401,0.06460609231938697,0.137680050505085,0.0327,0.0646,0.1377,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Minnesota,2,0.02368747173426976,0.05764853623336161,0.14812594123914116,0.0237,0.0576,0.1481,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Mississippi,0,0.01908530520873828,0.02864324941877176,0.04771593726406614,0.0191,0.0286,0.0477,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Mississippi,1,0.0193682588816975,0.03277127991432635,0.07147770734733185,0.0194,0.0328,0.0715,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Mississippi,2,0.01428483729247254,0.03044533705273405,0.0782008476995064,0.0143,0.0304,0.0782,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Missouri,0,0.03929931567845161,0.05653921338132314,0.08223656289915722,0.0393,0.0565,0.0822,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Missouri,1,0.05507844662769318,0.11050632320203532,0.21297073648293777,0.0551,0.1105,0.213,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Montana,0,0.01464948974325246,0.02336874695985705,0.04442615563514064,0.0146,0.0234,0.0444,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Montana,1,0.01364945933212532,0.02664556084895973,0.0631608936360697,0.0136,0.0266,0.0632,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Montana,2,0.00858394720866001,0.02323952803134073,0.06390344555877074,0.0086,0.0232,0.0639,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Nebraska,0,0.00781138114009332,0.01256573738106697,0.0253,0.0078,0.0126,0.0253,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Nebraska,1,0.00777023352300837,0.01500416106029619,0.04059429918172243,0.0078,0.015,0.0406,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Nebraska,2,0.00591905261491789,0.01490583520930561,0.03921168748529926,0.0059,0.0149,0.0392,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Nevada,0,0.01503850735144881,0.02193491966489577,0.03778863078356322,0.015,0.0219,0.0378,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
