location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
Washington,2,0.063996887191407,0.7039657591054771,2.3806842035203406,5,55,186,0.06,0.7,2.38,5,55,186,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
West Virginia,0,1.8078370867609266,4.237118172095921,8.813205797959517,32,75,156,1.81,4.24,8.81,32,75,156,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
West Virginia,1,0.9039185433804633,3.1072199928703426,7.400833073927543,16,55,131,0.9,3.11,7.4,16,55,131,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
West Virginia,2,0.5084541806515106,2.372786176373716,6.948873802237311,9,42,123,0.51,2.37,6.95,9,42,123,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Wisconsin,0,0.23684836037493096,0.8628047413658199,1.9962933231601323,14,51,118,0.24,0.86,2,14,51,118,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Wisconsin,1,0.10150644016068469,0.6428741210176697,2.1147175033475976,6,38,125,0.1,0.64,2.11,6,38,125,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Wisconsin,2,0.050753220080342346,0.49061446077664267,2.4699900439099944,3,29,146,0.05,0.49,2.47,3,29,146,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Wyoming,0,0.34243233109097226,1.7121616554548613,5.136484966364584,2,10,30,0.34,1.71,5.14,2,10,30,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Wyoming,1,0.17121616554548613,1.198513158818403,5.136484966364584,1,7,30,0.17,1.2,5.14,1,7,30,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Wyoming,2,0,1.198513158818403,4.794052635273612,0,7,28,0,1.2,4.79,0,7,28,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
